TIME_PERIOD;MEDIDAS;TERRITORIO;ACTIVIDAD_ECONOMICA;OBSERVACIONES
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades deportivas, recreativas y de entretenimiento;30
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de productos de caucho y plásticos;1
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Fabricación de muebles; otras industrias manufactureras";4
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Publicidad y estudios de mercado;4
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades asociativas;31
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de material y equipo eléctrico;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Programación, consultoría y otras actividades relacionadas con la informática; servicios de información";4
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades de organizaciones y organismos extraterritoriales;1
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Reparación e instalación de maquinaria y equipo;3
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Suministro de energía eléctrica, gas, vapor y aire acondicionado;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Actividades de seguridad e investigación; servicios a edificios y actividades de jardinería; actividades administrativas de oficina y otras actividades auxiliares a las empresas";61
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades de alquiler;28
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Otros servicios personales;80
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Pesca y acuicultura;25
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Transporte marítimo y por vías navegables interiores;3
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Industria de la madera y del corcho, excepto muebles; cestería y espartería";9
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Actividades de creación, artísticas y espectáculos; actividades de bibliotecas, archivos, museos y otras actividades culturales; actividades de juegos de azar y apuestas ";11
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Otras actividades profesionales, científicas y técnicas; actividades veterinarias";29
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Fabricación de vehículos de motor, remolques y semirremolques;0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Almacenamiento y actividades anexas al transporte;32
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Servicios;3991
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Agricultura, ganadería, silvicultura y pesca;83
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Administración pública y defensa; seguridad social obligatoria";0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";209
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Captación, depuración y distribución de agua;5
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Servicios financieros, excepto seguros y fondos de pensiones;4
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Industria;138
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Actividades auxiliares a los servicios financieros y a los seguros;17
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Silvicultura y explotación forestal;0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Industria del papel;0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y televisión";12
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Fabricación de otros productos minerales no metálicos;10
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Actividades relacionadas con el empleo;3
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Actividades sanitarias;84
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Industria de la alimentación, bebidas y tabaco;36
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Fabricación de maquinaria y equipo n.c.o.p.;5
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Comercio al por menor, excepto de vehículos de motor y motocicletas;837
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;34
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Reparación de ordenadores, efectos personales y artículos de uso doméstico;15
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Transporte aéreo;1
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Telecomunicaciones;19
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Recogida y tratamiento de aguas residuales; recogida, tratamiento y eliminación de residuos; valorización; actividades de descontaminación y otros servicios de gestión de residuos";7
