TIME_PERIOD;SEXO;EDAD;MEDIDAS;TERRITORIO;OBSERVACIONES
1999;Hombres;De 55 a 64 años;Defunciones;Gran Canaria;411
1999;Hombres;De 55 a 64 años;Defunciones;Fuerteventura;25
1999;Hombres;De 55 a 64 años;Defunciones;El Hierro;1
1999;Hombres;De 55 a 64 años;Defunciones;Canarias;902
1999;Hombres;De 45 a 54 años;Defunciones;Tenerife;214
1999;Hombres;De 45 a 54 años;Defunciones;Lanzarote;42
1999;Hombres;De 45 a 54 años;Defunciones;La Palma;22
1999;Hombres;De 45 a 54 años;Defunciones;La Gomera;2
1999;Hombres;De 45 a 54 años;Defunciones;Gran Canaria;242
1999;Hombres;De 45 a 54 años;Defunciones;Fuerteventura;16
1999;Hombres;De 45 a 54 años;Defunciones;El Hierro;3
1999;Hombres;De 45 a 54 años;Defunciones;Canarias;541
1999;Hombres;De 35 a 44 años;Defunciones;Tenerife;111
1999;Hombres;De 35 a 44 años;Defunciones;Lanzarote;19
1999;Hombres;De 35 a 44 años;Defunciones;La Palma;5
1999;Hombres;De 35 a 44 años;Defunciones;La Gomera;4
1999;Hombres;De 35 a 44 años;Defunciones;Gran Canaria;125
1999;Hombres;De 35 a 44 años;Defunciones;Fuerteventura;21
1999;Hombres;De 35 a 44 años;Defunciones;El Hierro;0
1999;Hombres;De 35 a 44 años;Defunciones;Canarias;285
1999;Hombres;De 25 a 34 años;Defunciones;Tenerife;96
1999;Hombres;De 25 a 34 años;Defunciones;Lanzarote;19
1999;Hombres;De 25 a 34 años;Defunciones;La Palma;6
1999;Hombres;De 25 a 34 años;Defunciones;La Gomera;2
1999;Hombres;De 25 a 34 años;Defunciones;Gran Canaria;81
1999;Hombres;De 25 a 34 años;Defunciones;Fuerteventura;6
1999;Hombres;De 25 a 34 años;Defunciones;El Hierro;0
1999;Hombres;De 25 a 34 años;Defunciones;Canarias;210
1999;Hombres;De 1 a 4 años;Defunciones;Tenerife;2
1999;Hombres;De 1 a 4 años;Defunciones;Lanzarote;0
1999;Hombres;De 1 a 4 años;Defunciones;La Palma;0
1999;Hombres;De 1 a 4 años;Defunciones;La Gomera;0
1999;Hombres;De 1 a 4 años;Defunciones;Gran Canaria;3
1999;Hombres;De 1 a 4 años;Defunciones;Fuerteventura;0
1999;Hombres;De 1 a 4 años;Defunciones;El Hierro;0
1999;Hombres;De 1 a 4 años;Defunciones;Canarias;5
1999;Hombres;De 15 a 24 años;Defunciones;Tenerife;38
1999;Hombres;De 15 a 24 años;Defunciones;Lanzarote;11
1999;Hombres;De 15 a 24 años;Defunciones;La Palma;3
1999;Hombres;De 15 a 24 años;Defunciones;La Gomera;1
1999;Hombres;De 15 a 24 años;Defunciones;Gran Canaria;60
1999;Hombres;De 15 a 24 años;Defunciones;Fuerteventura;6
1999;Hombres;De 15 a 24 años;Defunciones;El Hierro;0
1999;Hombres;De 15 a 24 años;Defunciones;Canarias;119
1999;Hombres;Total;Defunciones;Tenerife;2694
1999;Hombres;Total;Defunciones;Lanzarote;328
1999;Hombres;Total;Defunciones;La Palma;373
1999;Hombres;Total;Defunciones;La Gomera;66
1999;Hombres;Total;Defunciones;Gran Canaria;2927
1999;Hombres;Total;Defunciones;Fuerteventura;148
1999;Hombres;Total;Defunciones;El Hierro;43
1999;Hombres;Total;Defunciones;Canarias;6579
1999;Hombres;Menos de 7 días;Defunciones;Tenerife;6
1999;Hombres;Menos de 7 días;Defunciones;Lanzarote;1
1999;Hombres;Menos de 7 días;Defunciones;La Palma;0
1999;Hombres;Menos de 7 días;Defunciones;La Gomera;1
1999;Hombres;Menos de 7 días;Defunciones;Gran Canaria;6
1999;Hombres;Menos de 7 días;Defunciones;Fuerteventura;0
1999;Hombres;Menos de 7 días;Defunciones;El Hierro;0
1999;Hombres;Menos de 7 días;Defunciones;Canarias;14
1999;Hombres;De 7 a 27 días;Defunciones;Tenerife;1
1999;Hombres;De 7 a 27 días;Defunciones;Lanzarote;0
1999;Hombres;De 7 a 27 días;Defunciones;La Palma;0
1999;Hombres;De 7 a 27 días;Defunciones;La Gomera;0
1999;Hombres;De 7 a 27 días;Defunciones;Gran Canaria;5
1999;Hombres;De 7 a 27 días;Defunciones;Fuerteventura;0
1999;Hombres;De 7 a 27 días;Defunciones;El Hierro;0
1999;Hombres;De 7 a 27 días;Defunciones;Canarias;6
1999;Hombres;De 28 días a menos de 1 año;Defunciones;Tenerife;12
1999;Hombres;De 28 días a menos de 1 año;Defunciones;Lanzarote;0
1999;Hombres;De 28 días a menos de 1 año;Defunciones;La Palma;0
1999;Hombres;De 28 días a menos de 1 año;Defunciones;La Gomera;0
1999;Hombres;De 28 días a menos de 1 año;Defunciones;Gran Canaria;10
1999;Hombres;De 28 días a menos de 1 año;Defunciones;Fuerteventura;1
1999;Hombres;De 28 días a menos de 1 año;Defunciones;El Hierro;0
1999;Hombres;De 28 días a menos de 1 año;Defunciones;Canarias;23
1999;Mujeres;Menor de 1 año;Defunciones;Tenerife;21
1999;Mujeres;Menor de 1 año;Defunciones;Lanzarote;3
1999;Mujeres;Menor de 1 año;Defunciones;La Palma;2
1999;Mujeres;Menor de 1 año;Defunciones;La Gomera;2
1999;Mujeres;Menor de 1 año;Defunciones;Gran Canaria;20
1999;Mujeres;Menor de 1 año;Defunciones;Fuerteventura;1
1999;Mujeres;Menor de 1 año;Defunciones;El Hierro;0
1999;Mujeres;Menor de 1 año;Defunciones;Canarias;49
1999;Mujeres;95 años o más;Defunciones;Tenerife;99
1999;Mujeres;95 años o más;Defunciones;Lanzarote;13
1999;Mujeres;95 años o más;Defunciones;La Palma;16
1999;Mujeres;95 años o más;Defunciones;La Gomera;2
1999;Mujeres;95 años o más;Defunciones;Gran Canaria;108
1999;Mujeres;95 años o más;Defunciones;Fuerteventura;5
